Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
244,Guardian Life Ins. Co. of America,9556,13014.9,464.9,74053,,Financials,"Insurance: Life, Health (Mutual)",New York,NY
245,BJ's Wholesale Club,26383,13007.3,127.3,3239.3,3776.6,Retailing,Wholesalers: Diversified,Westborough,MA
246,BB&T Corp.,35852,12996,3237,225697,35541,Financials,Commercial Banks,Winston-Salem,NC
247,State Street Corp.,40142,12973,2599,244626,24919.6,Financials,Commercial Banks,Boston,MA
248,Viacom,10880,12943,1719,23783,11530.7,Media,Entertainment,New York,NY
249,Ameriprise Financial,14062,12924,2098,137216,17345.1,Financials,Diversified Financials,Minneapolis,MN
250,Core-Mark Holding,8087,12903.9,45.5,1666.1,1703.2,Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA
251,Reinsurance Group of America,2767,12875.7,715.8,64535.2,8922,Financials,"Insurance: Life, Health (Stock)",Chesterfield,MO
252,VF,69000,12862.3,658.6,10311.3,34382.1,Apparel,Apparel,Greensboro,NC
253,Discover Financial Services,16600,12848,2742,109553,23215.1,Financials,Commercial Banks,Riverwoods,IL
254,Global Partners,2500,12672.6,103.9,2424.3,668.4,Wholesalers,Wholesalers: Diversified,Waltham,MA
255,Edison International,12574,12657,-423,56715,20174.2,Energy,Utilities: Gas and Electric,Rosemead,CA
256,Oneok,2684,12593.2,1151.7,18231.7,28746.9,Energy,Pipelines,Tulsa,OK
257,Murphy USA,6800,12524,213.6,2360.8,2755.6,Retailing,Specialty Retailers: Other,El Dorado,AR
258,Bed Bath & Beyond,65000,12349.3,424.9,7040.8,2335.7,Retailing,Specialty Retailers: Other,Union,NJ
259,Consolidated Edison,15307,12337,1382,53920,27230.6,Energy,Utilities: Gas and Electric,New York,NY
260,CSX,22475,12250,3309,36729,60805.2,Transportation,Railroads,Jacksonville,FL
261,J.C. Penney,95000,12019,-255,7721,471.4,Retailing,General Merchandisers,Plano,TX
262,LKQ,51000,11876.7,480.1,11393.4,8926.4,Wholesalers,Wholesalers: Diversified,Chicago,IL
263,FirstEnergy,12494,11864,1348,40063,22059.6,Energy,Utilities: Gas and Electric,Akron,OH
264,Steel Dynamics,8200,11821.8,1258.4,7703.6,7862.8,Materials,Metals,Fort Wayne,IN
265,Lithia Motors,13643,11821.4,265.7,5384,2147,Retailing,"Automotive Retailing, Services",Medford,OR
266,MGM Resorts International,74500,11763.1,466.8,30210.7,13777.3,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
267,Tenneco,81000,11763,55,13232,1793.2,Motor Vehicles & Parts,Motor Vehicles and Parts,Lake Forest,IL
268,Nvidia,13277,11716,4141,13292,108813.4,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
269,Sempra Energy,16823,11687,1049,60638,34508.6,Energy,Utilities: Gas and Electric,San Diego,CA
270,Farmers Insurance Exchange,12740,11650.4,-70.5,17016.3,,Financials,Insurance: Property and Casualty (Mutual),Woodland Hills,CA
271,Ball,17500,11635,454,16554,19335,Materials,"Packaging, Containers",Broomfield,CO
272,Group 1 Automotive,14570,11601.4,157.8,5001.1,1186.6,Retailing,"Automotive Retailing, Services",Houston,TX
273,Unum Group,9600,11598.5,523.4,61875.6,7260.8,Financials,"Insurance: Life, Health (Stock)",Chattanooga,TN
274,Xcel Energy,11068,11537,1261,45987,28903.8,Energy,Utilities: Gas and Electric,Minneapolis,MN
275,Reliance Steel & Aluminum,15600,11534.5,633.7,8044.9,6054.5,Materials,Metals,Los Angeles,CA
276,Huntsman,10000,11527,337,7953,5251.9,Chemicals,Chemicals,The Woodlands,TX
277,Norfolk Southern,26662,11458,2666,36239,49860.3,Transportation,Railroads,Norfolk,VA
278,Laboratory Corp. of America,61000,11333.4,883.7,16185.3,15095.8,Health Care,Health Care: Pharmacy and Other Services,Burlington,NC
279,Corning,51500,11290,1066,27505,25990.7,Industrials,"Electronics, Electrical Equipment",Corning,NY
280,Expedia,24500,11223,406,18033,17515.6,Technology,Internet Services and Retailing,Bellevue,WA
281,AutoZone,72450,11221.1,1337.5,9347,25487.9,Retailing,Specialty Retailers: Other,Memphis,TN
282,W.W. Grainger,23850,11221,782,5873,16732.7,Wholesalers,Wholesalers: Diversified,Lake Forest,IL
283,Quanta Services,39200,11171.4,293.3,7075.8,5336.2,Engineering & Construction,"Engineering, Construction",Houston,TX
284,Crown Holdings,33429,11151,439,15262,7384.9,Materials,"Packaging, Containers",Philadelphia,PA
285,Office Depot,44000,11130,104,6166,1971.9,Retailing,Specialty Retailers: Other,Boca Raton,FL
286,Baxter International,50000,11127,1624,15641,41558.9,Health Care,Medical Products and Equipment,Deerfield,IL
287,Lam Research,10900,11077,2380.7,12479.5,27315.8,Technology,Semiconductors and Other Electronic Components,Fremont,CA
288,Entergy,13688,11009.5,848.7,48275.1,18214.6,Energy,Utilities: Gas and Electric,New Orleans,LA
289,Charles Schwab,19500,10989,3507,296482,57051.3,Financials,Securities,San Francisco,CA
290,L3 Technologies,31000,10841,1005,13518,16368.2,Aerospace & Defense,Aerospace and Defense,New York,NY
291,NRG Energy,4862,10797,268,10628,11850.9,Energy,Energy,Princeton,NJ
292,Live Nation Entertainment,16000,10787.8,60.2,8496.9,13400.5,Media,Entertainment,Beverly Hills,CA
293,Universal Health Services,75650,10772.3,779.7,11265.5,12144.3,Health Care,Health Care: Medical Facilities,King of Prussia,PA
294,Molson Coors Brewing,17750,10769.6,1116.5,30109.8,12958,,,,
295,eBay,14000,10746,2530,22819,33978.7,Technology,Internet Services and Retailing,San Jose,CA
296,AES,9000,10736,1203,32521,11975.4,Energy,Utilities: Gas and Electric,Arlington,VA
297,Devon Energy,2880,10734,3064,19566,13832.7,Energy,"Mining, Crude-Oil Production",Oklahoma City,OK
298,Pacific Life,3776,10699,913,157699,,Financials,"Insurance: Life, Health (Stock)",Newport Beach,CA
299,CenterPoint Energy,7977,10589,368,27009,15394.2,Energy,Utilities: Gas and Electric,Houston,TX
300,Discovery Communications,9000,10553,594,32550,13632.8,Media,Entertainment,Silver Spring,MD
301,BorgWarner,30000,10529.6,930.7,10095.3,7974.3,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,MI
302,Targa Resources,2460,10484,1.6,16938.2,9645.6,Energy,Pipelines,Houston,TX
303,Ally Financial,8200,10466,1263,178869,11025.3,Financials,Diversified Financials,Detroit,MI
304,SunTrust Banks,22899,10431,2775,215543,26262.9,Financials,Commercial Banks,Atlanta,GA
305,IQVIA Holdings,58000,10412,259,22549,28280.9,Health Care,Health Care: Pharmacy and Other Services,Durham,NC
306,American Family Insurance Group,11975,10336.2,295.3,27502.5,,Financials,Insurance: Property and Casualty (Stock),Madison,WI
307,Delek US Holdings,3717,10265.6,340.1,5760.6,2821.7,Energy,Petroleum Refining,Brentwood,TN
308,Navistar International,13100,10250,340,7230,3199.8,Industrials,Construction and Farm Machinery,Lisle,IL
309,Chesapeake Energy,2350,10231,873,10947,5058.3,Energy,"Mining, Crude-Oil Production",Oklahoma City,OK
310,United Natural Foods,10000,10226.7,165.7,2964.5,671.8,Wholesalers,Wholesalers: Food and Grocery,Providence,RI
311,Leidos Holdings,32000,10194,581,8770,9205.1,Technology,Information Technology Services,Reston,VA
312,PulteGroup,5086,10188.3,1022,10173,7758.4,Engineering & Construction,Homebuilders,Atlanta,GA
313,Eastman Chemical,14595,10151,1080,15995,10531.1,Chemicals,Chemicals,Kingsport,TN
314,Republic Services,36000,10040.9,1036.9,21617,25851.5,Business Services,Waste Management,Phoenix,AZ
315,Mohawk Industries,42100,9983.6,861.7,13099.1,9121.9,Household Products,"Home Equipment, Furnishings",Calhoun,GA
316,Sonic Automotive,9700,9951.6,51.7,3796.8,636.7,Retailing,"Automotive Retailing, Services",Charlotte,NC
317,Owens & Minor,17900,9838.7,-437,3773.8,258.4,Wholesalers,Wholesalers: Health Care,Mechanicsville,VA
318,Xerox,32400,9830,361,14874,7307.6,Technology,Computer Peripherals,Norwalk,CT
319,Boston Scientific,32000,9823,1671,20999,53367.4,Health Care,Medical Products and Equipment,Marlborough,MA
320,DCP Midstream,2650,9822,298,14266,4736.6,Chemicals,Petroleum Refining,Denver,CO
321,Autoliv,62091,9801.1,190.4,6721.6,6413.4,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,MI
322,Interpublic Group,54000,9714.4,618.9,15620.3,8087,Business Services,"Advertising, Marketing",New York,NY
323,Public Service Enterprise Group,13145,9696,1438,45326,30002,Energy,Utilities: Gas and Electric,Newark,NJ
324,PVH,29350,9656.8,746.4,11863.7,9164.1,Apparel,Apparel,New York,NY
325,Mosaic,13600,9587.3,470,20119.2,10527.2,Chemicals,Chemicals,Plymouth,MN
326,Advance Auto Parts,55500,9580.6,423.8,9040.6,12221.9,Retailing,Specialty Retailers: Other,Roanoke,VA
327,Altice USA,11993,9566.6,18.8,33613.8,14708,,,,
328,Hormel Foods,20100,9545.7,1012.1,8142.3,23976.8,"Food, Beverages & Tobacco",Food Consumer Products,Austin,MN
329,O'Reilly Automotive,64325,9536.4,1324.5,7980.8,30438.4,Retailing,Specialty Retailers: Other,Springfield,MO
330,Calpine,2282,9512,10,16062,,Energy,Energy,Houston,TX
331,Hertz Global Holdings,38000,9504,-225,21382,1457.8,Retailing,"Automotive Retailing, Services",Estero,FL
332,First Data,19000,9498,1005,38327,24767.2,Business Services,Financial Data Services,Atlanta,GA
333,Pioneer Natural Resources,3177,9415,978,17903,25639.3,Chemicals,Petroleum Refining,Irving,TX
334,Coty,20000,9398,-168.8,22630.2,8639.5,Materials,Cosmetics,New York,NY
335,AGCO,21200,9352,285.5,7626.4,5335.4,Industrials,Construction and Farm Machinery,Duluth,GA
336,Mutual of Omaha Insurance,6314,9347.2,277.3,43913.4,,Financials,"Insurance: Life, Health (Stock)",Omaha,NE
337,Vistra Energy,5275,9144,-54,26024,12647.8,Energy,Energy,Dallas,TX
338,Avis Budget Group,25600,9124,165,19149,2646.2,Retailing,"Automotive Retailing, Services",Parsippany,NJ
339,Adobe Systems,21357,9030,2590.8,18768.7,130034,Technology,Computer Software,San Jose,CA
340,Peter Kiewit Sons',20000,9025,468,4760,,Engineering & Construction,"Engineering, Construction",Omaha,NE
341,News Corp.,28000,9024,-1514,16346,7286.8,Media,"Publishing, Printing",New York,NY
342,Brighthouse Financial,1260,8965,865,206294,4230.2,Financials,"Insurance: Life, Health (Mutual)",Charlotte,NC
343,Voya Financial,6000,8934,875,154682,7291,Financials,Diversified Financials,New York,NY
344,Air Products & Chemicals,16150,8930.2,1497.8,19178.3,41940.8,Chemicals,Chemicals,Allentown,PA
345,Hilton Worldwide Holdings,169000,8906,764,13995,24292.8,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",McLean,VA
346,GameStop,33000,8850.7,-673,4044.3,1036,Retailing,Specialty Retailers: Other,Grapevine,TX
347,Veritiv,8700,8696.2,-15.7,2529.7,418.5,Wholesalers,Wholesalers: Diversified,Atlanta,GA
348,Williams,5322,8686,-155,45302,34801.1,Energy,Energy,Tulsa,OK
349,Campbell Soup,23000,8685,261,14529,11481.6,"Food, Beverages & Tobacco",Food Consumer Products,Camden,NJ
350,Rockwell Collins,31200,8665,1032,19026,,Aerospace & Defense,Aerospace and Defense,Cedar Rapids,IA
351,Thrivent Financial for Lutherans,3708,8635.2,1233.9,94482.9,,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,MN
352,Westlake Chemical,8870,8635,996,11602,8718.3,Chemicals,Petroleum Refining,Houston,TX
353,Univar,8500,8632.5,172.3,5272.4,3760.5,Wholesalers,Wholesalers: Diversified,Downers Grove,IL
354,J.B. Hunt Transport Services,27621,8614.9,489.6,5091.6,11014.2,Transportation,"Trucking, Truck Leasing",Lowell,AR
355,Frontier Communications,21173,8611,-643,23659,209.6,Telecommunications,Telecommunications,Norwalk,CT
356,Jones Financial (Edward Jones),47000,8594,990,15815,,Financials,Securities,Des Peres,MO
357,National Oilwell Varco,34642,8453,-31,19796,10214.7,Energy,"Oil and Gas Equipment, Services",Houston,TX
358,Eversource Energy,7998,8448.2,1033,38241.3,22512.6,Energy,Utilities: Gas and Electric,Springfield,MA
359,Dick's Sporting Goods,27950,8436.6,319.9,4187.1,3544.9,Retailing,Specialty Retailers: Other,Coraopolis,PA
360,Genworth Financial,3500,8430,119,100923,1918.5,Financials,"Insurance: Life, Health (Stock)",Richmond,VA
361,Fidelity National Information Services,47000,8423,846,23770,36546.5,Business Services,Financial Data Services,Jacksonville,FL
362,Yum China Holdings,450000,8415,708,4610,17019.2,"Hotels, Restaurants & Leisure",Food Services,Plano,TX
363,Ryder System,39600,8409.2,273.3,13051.1,3302.5,Transportation,"Trucking, Truck Leasing",Miami,FL
364,Anixter International,9300,8400.2,156.3,4653.1,1878.7,Wholesalers,Wholesalers: Electronics and Office Equipment,Glenview,IL
365,Caesars Entertainment,66000,8391,303,25775,5823.5,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NE
366,Masco,26000,8359,734,5393,11568.7,Household Products,"Home Equipment, Furnishings",Taylor,MI
367,Thor Industries,17500,8328.9,430.2,2778.7,3434.3,Motor Vehicles & Parts,Recreational vehicles,Elkhart,IN
368,Alaska Air Group,23376,8264,437,10912,6937.1,Transportation,Airlines,Seattle,WA
369,Amphenol,73600,8202,1205,10044.9,28151.4,Technology,Network and Other Communications Equipment,Wallingford,CT
370,WESCO International,9100,8176.6,227.3,4605,2395.8,Wholesalers,Wholesalers: Diversified,Pittsburgh,PA
371,Huntington Ingalls Industries,40000,8176,836,6383,8631.3,Aerospace & Defense,Aerospace and Defense,Newport News,VA
372,Jefferies Financial Group,4700,8151.8,1026.8,47131.1,5686.9,Financials,Financial Data Services,New York,NY
373,Dana,30900,8143,427,5918,2545,Motor Vehicles & Parts,Motor Vehicles and Parts,Maumee,OH
374,Expeditors International of Washington,17400,8138.4,618.2,3314.6,13043.9,Transportation,Transportation and Logistics,Seattle,WA
375,EMCOR Group,33000,8130.6,283.5,4088.8,4092.3,Engineering & Construction,"Engineering, Construction",Norwalk,CT
376,Darden Restaurants,180656,8080.1,596,5469.6,15002.6,"Hotels, Restaurants & Leisure",Food Services,Orlando,FL
377,SpartanNash,11400,8064.6,33.6,1971.9,570.6,Wholesalers,Wholesalers: Food and Grocery,Byron Center,MI
378,Assurant,14250,8057.6,251,41089.3,5854.3,Financials,Insurance: Property and Casualty (Stock),New York,NY
379,United Rentals,18500,8047,1096,18133,9002.2,Business Services,Miscellaneous,Stamford,CT
380,Liberty Media,4641,8040,531,40828,12349.5,Media,Entertainment,Englewood,CO
381,Erie Insurance Group,5547,8030.7,686.3,21178.2,,Financials,Insurance: Property and Casualty (Mutual),Erie,PA
382,Auto-Owners Insurance,5517,7999.3,754.5,24476.4,,Financials,Insurance: Property and Casualty (Mutual),Lansing,MI
383,Cheniere Energy,1372,7987,471,31987,17596.9,Energy,Petroleum Refining,Houston,TX
384,Fifth Third Bancorp,17437,7973,2193,146069,19447.4,Financials,Commercial Banks,Cincinnati,OH
385,Foot Locker,32401,7939,541,3820,6841.1,Retailing,Specialty Retailers: Apparel,New York,NY
386,Conagra Brands,12400,7938.3,808.4,10389.5,13471.7,"Food, Beverages & Tobacco",Food Consumer Products,Chicago,IL
387,Zimmer Biomet Holdings,19800,7932.9,-379.2,24126.8,26124.8,Health Care,Medical Products and Equipment,Warsaw,IN
388,Tractor Supply,22000,7911,532.4,3085.3,11839.7,Retailing,Specialty Retailers: Other,Brentwood,TN
389,Berry Global Group,24000,7869,496,9131,7024.9,Materials,"Packaging, Containers",Evansville,IN
390,Alliance Data Systems,20000,7791.2,963.1,30387.7,9273.5,Business Services,Financial Data Services,Plano,TX
391,Hershey,15675,7791.1,1177.6,7703,23944.3,"Food, Beverages & Tobacco",Food Consumer Products,Hershey,PA
392,PPL,12444,7785,1827,43396,22882.5,Energy,Utilities: Gas and Electric,Allentown,PA
393,Dean Foods,15000,7755.3,-326.9,2118.5,277.9,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,TX
394,Builders FirstSource,15000,7724.8,205.2,2932.3,1538.9,Materials,"Building Materials, Glass",Dallas,TX
395,Oshkosh,15000,7705.5,471.9,5294.2,5262.6,Industrials,Construction and Farm Machinery,Oshkosh,WI
396,EnLink Midstream,1449,7699,-13.2,10694.1,6219.2,Energy,Supply and marketing of oil,Dallas,TX
397,W.R. Berkley,7448,7691.7,640.7,24896,10337,Financials,Insurance: Property and Casualty (Stock),Greenwich,CT
398,WEC Energy Group,7878,7679.5,1059.3,33475.8,24945.8,Energy,Utilities: Gas and Electric,Milwaukee,WI
399,JetBlue Airways,18268,7658,188,10426,5014.9,Transportation,Airlines,Long Island City,NY
400,UGI,13000,7651.2,718.7,11980.9,9634.4,Energy,Energy,King of Prussia,PA
401,A-Mark Precious Metals,184,7606.2,-3.4,743,83.7,Materials,Miscellaneous,Santa Monica,CA
402,Fidelity National Financial,23436,7594,628,9301,10063.4,Financials,Insurance: Property and Casualty (Stock),Jacksonville,FL
403,Constellation Brands,9600,7585,2318.9,20538.7,33209.6,"Food, Beverages & Tobacco",Beverages,Victor,NY
404,Quest Diagnostics,46000,7531,736,11003,12072.8,Health Care,Health Care: Pharmacy and Other Services,Madison,NJ
405,Activision Blizzard,9900,7500,1813,17835,34777.4,Technology,Computer Software,Santa Monica,CA
406,Weyerhaeuser,9300,7476,748,17249,19663.4,Materials,Forest and Paper Products,Seattle,WA
407,Raymond James Financial,13900,7475.8,856.7,37412.9,11340.9,Financials,Securities,St. Petersburg,FL
408,Casey's General Stores,27561,7472.1,317.9,3469.9,4716.9,Retailing,Specialty Retailers: Other,Ankeny,IA
409,Keurig Dr Pepper,25500,7442,586,48918,39328.1,"Food, Beverages & Tobacco",Beverages,Plano,TX
410,American Tower,5026,7440.1,1236.4,33010.4,86930,Telecommunications,Telecommunications,Boston,MA
411,Apache,3420,7424,40,21582,13011.6,Energy,"Mining, Crude-Oil Production",Houston,TX
412,Dover,24000,7395.8,570.3,8365.8,13621,Industrials,Industrial Machinery,Downers Grove,IL
413,KeyCorp,18180,7393,1866,139613,15888.4,Financials,Commercial Banks,Cleveland,OH
414,J.M. Smucker,7000,7357.1,1338.6,15301.2,13251.5,"Food, Beverages & Tobacco",Food Consumer Products,Orrville,OH
415,Citizens Financial Group,18140,7354,1721,160518,14962.7,Financials,Commercial Banks,Providence,RI
416,Motorola Solutions,16000,7343,966,9409,23089.5,Technology,Network and Other Communications Equipment,Chicago,IL
417,Magellan Health,10500,7314.2,24.2,2979.1,1577.2,Health Care,health Care: Pharmacy and Other Services,Phoenix,AZ
418,American Axle & Manufacturing,25000,7270.4,-57.5,7510.7,1599,Motor Vehicles & Parts,"Automotive Retailing, Services",Detroit,MI
419,Newmont Mining,12442,7253,341,20715,19053.6,Energy,"Mining, Crude-Oil Production",Greenwood Village,CO
420,Spirit AeroSystems Holdings,17000,7222,617,5685.9,9672.1,Aerospace & Defense,Aerospace and Defense,Wichita,KS
421,Western & Southern Financial Group,2769,7205,495,50635.5,,Financials,"Insurance: Life, Health (Mutual)",Cincinnati,OH
422,Fortive,24000,7203.2,2913.8,12905.6,28072.2,Industrials,Diversified Outsourcing Services,Everett,WA
423,Graybar Electric,8700,7202.5,143.3,2491.2,,Wholesalers,Wholesalers: Diversified,St. Louis,MO
424,NVR,5600,7189.7,797.2,3165.9,10036.5,Engineering & Construction,Homebuilders,Reston,VA
425,Avery Dennison,30000,7159,467.4,5177.5,9488.9,Materials,"Packaging, Containers",Glendale,CA
426,Celanese,7684,7155,1207,9313,12606.6,Chemicals,Chemicals,Irving,TX
427,American Financial Group,7600,7150,530,63456,8592.7,Financials,Insurance: Property and Casualty (Stock),Cincinnati,OH
428,Toll Brothers,4900,7143.3,748.2,10244.6,5283,Engineering & Construction,Homebuilders,Horsham,PA
429,Sanmina,41200,7110.1,-95.5,4085.1,1974.2,Technology,Semiconductors and Other Electronic Components,San Jose,CA
430,Insight Enterprises,7420,7080.1,163.7,2775.9,1954.8,Wholesalers,Wholesalers: Electronics and Office Equipment,Tempe,AZ
431,Owens Corning,20000,7057,545,9771,5163.4,Materials,"Building Materials, Glass",Toledo,OH
432,Packaging Corp. of America,15000,7014.6,738,6569.7,9391,Materials,"Packaging, Containers",Lake Forest,IL
433,TravelCenters of America,18277,6973.6,-120.6,1442.1,166,Retailing,Specialty Retailers: Other,Westlake,OH
434,Olin,6500,6946.1,327.9,8997.4,3815.5,Chemicals,Chemicals,Clayton,MO
435,Arthur J. Gallagher,30362,6934,633.5,16334,14466.1,Financials,Diversified Financials,Itasca,IL
436,MasTec,19000,6909.4,259.7,4440,3656.9,,,,
437,Alleghany,9300,6887.2,39.5,25344.9,8854.7,Financials,Insurance: Property and Casualty (Stock),New York,NY
438,Owens-Illinois,26500,6877,257,9699,2915.8,Materials,"Packaging, Containers",Perrysburg,OH
439,Asbury Automotive Group,8200,6874.4,168,2695.4,1352.5,Retailing,"Automotive Retailing, Services",Duluth,GA
440,CMS Energy,8291,6873,657,24529,15760,Energy,Utilities: Gas and Electric,Jackson,MI
441,Markel,17400,6841.3,-128.2,33306.3,13813.2,Financials,Insurance: Property and Casualty (Stock),Glen Allen,VA
442,Blackstone Group,2615,6833.3,1541.8,28924.7,23030.9,Financials,Private equity investment management,New York,NY
443,AK Steel Holding,9500,6818.2,186,4515.7,869.8,Materials,Metals,West Chester,OH
444,Hanesbrands,68000,6804,553.1,7256,6463.1,Apparel,Apparel,Winston-Salem,NC
445,R.R. Donnelley & Sons,39500,6800.2,-11,3640.8,332.5,Media,"Publishing, Printing",Chicago,IL
446,Wayfair,12124,6779.2,-504.1,1890.9,13524.3,,,,
447,Regions Financial,19969,6762,1759,125688,14401,Financials,Commercial Banks,Birmingham,AL
448,Wynn Resorts,26000,6717.7,572.4,13216.3,12843.5,,,,
449,Ulta Beauty,30000,6716.6,658.6,3191.2,20683.9,,,,
450,Regeneron Pharmaceuticals,7400,6710.8,2444.4,11734.5,44871.4,,,,
451,Burlington Stores,44000,6668.5,414.7,3079.2,10509.6,Retailing,Specialty Retailers: Apparel,Burlington,NJ
452,Rockwell Automation,23000,6666,535.5,6262,20975.2,Industrials,"Electronics, Electrical Equipment",Milwaukee,WI
453,Northern Trust,18800,6658.9,1556.4,132212.5,19754.4,,,,
454,Chemours,7000,6638,995,7362,6179.1,Chemicals,Chemicals,Wilmington,DE
455,Seaboard,12600,6583,-17,5307,5001.5,"Food, Beverages & Tobacco",Food Production,Merriam,KS
456,Marathon Petroleum,2400,6582,1096,21321,13677.2,Energy,Petroleum Refining,Findlay,OH
457,Ascena Retail Group,39500,6578.3,-39.7,3570.5,213.4,Retailing,Specialty Retailers: Apparel,Mahwah,NJ
458,Dillard's,31005,6503.3,170.3,3431.4,1897.6,Retailing,General Merchandisers,Little Rock,AR
459,Cintas,41000,6487.4,842.6,6958.2,21207.8,Business Services,Specialized services,Cincinnati,OH
460,Advanced Micro Devices,10100,6475,337,4556,27601.5,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
461,Hess,1708,6466,-282,21433,18251.8,Energy,Crude oil and natural gas,New York,NY
462,M&T Bank Corp.,16840,6454.7,1918.1,120097.4,21741.2,Financials,Commercial Banks,Buffalo,NY
463,ABM Industries,140000,6442.2,97.8,3627.5,2407.8,Business Services,Diversified Outsourcing Services,New York,NY
464,Beacon Roofing Supply,8356,6418.3,98.6,6508.7,2201,,,,
465,NCR,34000,6405,-88,7761,3245.9,Technology,"Computers, Office Equipment",Duluth,GA
466,iHeartMedia,18300,6325.8,-201.9,12269.5,97.4,Media,Entertainment,San Antonio,TX
467,Franklin Resources,9691,6319.1,764.4,14383.5,16885.2,Financials,Securities,San Mateo,CA
468,Ameren,8838,6291,815,27215,18050.6,Energy,Utilities: Gas and Electric,St. Louis,MO
469,Intercontinental Exchange,5161,6276,1988,92791,43074.1,Financials,Securities,Atlanta,GA
470,S&P Global,21200,6258,1958,9458,51812.4,Business Services,Financial Data Services,New York,NY
471,Post Holdings,11550,6257.2,467.3,13057.5,7274.6,,,,
472,Analog Devices,15800,6200.9,1495.4,20449.8,38772.4,,,,
473,Ralph Lauren,18150,6182.3,162.8,6143.3,10195.7,Apparel,Apparel,New York,NY
474,Harris,17500,6182,718,9839,18839.5,Technology,Network and Other Communications Equipment,Melbourne,FL
475,Booz Allen Hamilton,24600,6171.9,305.1,3603.4,8144.4,,,,
476,Polaris Industries,12000,6166,335.3,4124.9,5152.9,,,,
477,Clorox,8700,6124,823,5060,20565.2,Household Products,Household and Personal Products,Oakland,CA
478,Realogy Holdings,11400,6079,137,7290,1301.9,Financials,Real Estate,Madison,NJ
479,HD Supply Holdings,11500,6047,394,4233,7402.1,Wholesalers,Wholesalers: Diversified,Atlanta,GA
480,Graphic Packaging Holding,18000,6023,221.1,7059.2,3733.3,,,,
481,Old Republic International,9000,6021.8,370.5,19327.1,6334.1,Financials,Insurance: Property and Casualty (Stock),Chicago,IL
482,Intuit,8900,5964,1211,5178,67724.3,,,,
483,NetApp,10300,5911,76,9865,17125.2,Technology,Computer Peripherals,Sunnyvale,CA
484,Tapestry,16900,5880,397.5,6678.3,9421.4,,,,
485,ON Semiconductor,35700,5878.3,627.4,7587.6,8474.8,,,,
486,Ingredion,11000,5841,443,5728,6312.7,"Food, Beverages & Tobacco",Food Production,Westchester,IL
487,Zoetis,10000,5825,1428,10777,48198,,,,
488,Fiserv,24000,5823,1187,11262,34603.1,Business Services,Financial Data Services,Brookfield,WI
489,TreeHouse Foods,12700,5812.1,-61.4,5599.3,3614.1,"Food, Beverages & Tobacco",Food Consumer Products,Oak Brook,IL
490,Robert Half International,18900,5800.3,434.3,1903.1,7759.2,Business Services,Temporary Help,Menlo Park,CA
491,First American Financial,18251,5747.8,474.5,10630.6,5765.3,Financials,Insurance: Property and Casualty (Stock),Santa Ana,CA
492,Harley-Davidson,5900,5716.9,531.5,10665.7,5670.7,Transportation,Transportation Equipment,Milwaukee,WI
493,Windstream Holdings,11945,5713.1,-723,10257.9,12.9,Telecommunications,Telecommunications,Little Rock,AR
494,Yum Brands,34000,5688,1542,4130,30583.2,"Hotels, Restaurants & Leisure",Food Services,Louisville,KY
495,Williams-Sonoma,19800,5671.6,333.7,2812.8,4434.8,,,,
496,Simon Property Group,4150,5657.9,2440.1,30686.2,56301.7,Financials,Real Estate,Indianapolis,IN
497,Navient,6500,5610,395,104176,2828.9,,,,
498,Western Union,12000,5589.9,851.9,8996.8,8050.9,Business Services,Financial Data Services,Englewood,CO
499,Peabody Energy,7400,5581.8,646.9,7423.7,3065.6,,,,
500,Levi Strauss,15100,5575.4,283.1,3542.7,9207.8,,,,
